rank,title,year,country,genres,description
141,Нефть,2007,United States,Драма,"История семьи, религии, ненависти, нефти и безумия, рассказывающая о старателе начала века, на заре своего бизнеса."
142,Отец,2020,United Kingdom,"Драма, Мистика","С возрастом мужчина отказывается от любой помощи со стороны своей дочери. Когда он пытается понять, что происходит вокруг него, он начинает сомневаться в своих близких, собственном разуме и даже в самой структуре своего...Читать полностью"
143,Малыш,1921,United States,"Комедия, Драма, Семейный","Бродяга заботится о брошенном ребенке, но события ставят их отношения под угрозу."
144,Всё о Еве,1950,United States,Драма,"На первый взгляд робкая, но втайне безжалостная инженю вторгается в жизнь стареющей звезды Бродвея и ее круга друзей по театру."
145,Шестое чувство,1999,United States,"Драма, Мистика, Триллер","Детский психолог из Филадельфии, застреленный обиженным бывшим пациентом, которому он не смог помочь, пытается искупить свою вину, рассказывая маленькому мальчику тревожную тайну."
146,Ран,1985,Japan,"Боевик, Драма, Военный","В средневековой Японии пожилой военачальник уходит в отставку, передавая свою империю трем сыновьям. Однако он сильно недооценивает, как новообретенная власть развратит их и заставит отвернуться...Читать полностью"
147,Казино,1995,United States,"криминал, драма",В Лас-Вегасе два лучших друга — руководитель казино и боевик мафии — соревнуются за империю азартных игр и быстроживущую и любящую светскую львицу.
148,Старикам тут не место,2007,United States,"криминал, драма, триллер","Насилие и хаос возникают после того, как охотник натыкается на последствия неудачной сделки с наркотиками и более двух миллионов долларов наличными недалеко от Рио-Гранде."
149,Нечто,1982,United States,"Ужасы, Мистика, Научная фантастика","На исследовательскую группу в Антарктиде охотится инопланетянин, меняющий форму, принимающий облик своих жертв."
150,Пленницы,2013,United States,"криминал, драма, мистика","Отчаявшийся отец берет правосудие в свои руки после того, как полиции не удалось найти двух похищенных девочек."
151,Топ Ган: Мэверик,2022,United States,"Боевик, Драма","История рассказывает о том, как Мэверик сталкивается со своим прошлым, обучая группу молодых выпускников Top Gun, включая сына его покойного лучшего друга, для опасной миссии."
152,Убить Билла. Фильм 1,2003,United States,"Боевик, Криминал, Триллер","Очнувшись от четырехлетней комы, бывшая убийца мстит предавшей ее команде убийц."
153,Лабиринт Фавна,2006,Mexico,"Драма, Фэнтези, Военный","В 1944 году во франкистской Испании молодая девушка с богатым воображением встречает фавна, который говорит ей, что она принцесса и что она должна доказать свою ценность, выполнив три опасных задания."
154,Непрощенный,1992,United States,"Драма, Вестерн","Отставной стрелок с Дикого Запада Уилл Манни неохотно берется за последнюю работу, чтобы отомстить за несправедливость с помощью своего старого партнера и молодого потенциального боевика, называющего себя «Шофилд Ки...Читать полностью"
155,Атака Титанов. Последняя Атака,2024,Japan,"Анимация, Боевик, Приключения","Судьба мира висит на волоске, когда Эрен высвобождает величайшую силу Титанов. С пылкой решимостью уничтожить всех, кто угрожает Элдии, он возглавляет неудержимую армию...Читать все"
156,Игры разума,2001,United States,"биография, драма, мистика","Математический гений, Джон Нэш сделал удивительное открытие в начале своей карьеры и оказался на пороге международного признания. Но вскоре Нэш оказался на мучительном пути к самому себе...Читать полностью"
157,Ходячий замок,2004,Japan,"Анимация, Приключения, Семейный","Когда злобная ведьма навязывает неуверенную в себе молодую женщину проклятием старого тела, ее единственный шанс разрушить чары остается у снисходительного, но неуверенного в себе молодого волшебника и его товарищей...Читать полностью"
158,Сокровища Сьерра Мадре,1948,United States,"приключения, драма, вестерн","Двое неудавшихся американцев, ищущих работу в Мексике 1920-х годов, убеждают старого старателя помочь им добывать золото в горах Сьерра-Мадре."
159,В поисках Немо,2003,United States,"Анимация, Приключения, Комедия","После того, как его сына поймали на Большом Барьерном рифе и доставили в Сидней, робкая рыба-клоун отправляется в путешествие, чтобы вернуть его домой."
160,Клаус,2019,Spain,"Анимация, Приключения, Комедия","Простой добрый поступок всегда вызывает другой, даже в холодном, далеком месте. Когда новый почтальон Смеренсбурга Джеспер подружился с мастером игрушек Клаусом, их подарки расплавляют вековую вражду и доставляют...Читать полностью"
161,Телохранитель,1961,Japan,"Боевик, Драма, Триллер","Коварный ронин приезжает в город, разделенный двумя преступными группировками, и решает натравить их друг на друга, чтобы освободить город."
162,Большой побег,1963,United States,"приключения, драма, триллер","Офицеры союзников в немецком лагере для военнопленных во время Второй мировой войны разрабатывают смелый план массового побега сотен военнопленных, надеясь отвлечь немецкий персонал и ресурсы от боевых действий...Читать полностью"
163,Человек-слон,1980,United States,"Биография, Драма","Хирург викторианской эпохи спасает сильно изуродованного и подвергшегося жестокому обращению молодого человека, работающего в качестве уродца, который постепенно раскрывает свою способность к доброте, уму и утонченности."
164,Монти Пайтон и священный Грааль,1975,United Kingdom,"приключения, комедия, фэнтези","Король Артур и его рыцари Круглого стола отправляются в сюрреалистический малобюджетный поиск Святого Грааля, сталкиваясь со множеством очень глупых препятствий."
165,В случае убийства набирайте «М»,1954,United States,"криминал, драма, мистика",Лондонский плейбой замышляет идеальное убийство своей богатой неверной жены.
166,Истребитель демонов: Бесконечная крепость,2025,Japan,"Анимация, Боевик, Приключения","Отряд Убийц Демонов втягивается в Бесконечный Замок, где Танджиро и Хашира сталкиваются с ужасающими демонами высшего ранга в отчаянной битве, поскольку финальная битва против Музана Кибуцудзи будет...Читать полностью"
167,Лучшие из молодых,2003,Italy,"Драма, Романтика","Итальянский эпос, рассказывающий о жизни двух братьев с 1960-х по 2000-е годы."
168,Тайна в его глазах,2009,Argentina,"Драма, Мистика, Романтика","Юрисконсульт на пенсии пишет роман, надеясь найти решение одного из своих прошлых нераскрытых дел об убийстве и своей безответной любви к своему начальнику - и то, и другое до сих пор не дает ему покоя...Читать полностью"
169,Унесенные ветром,1939,United States,"Драма, Романтика, Военный","Защищенная и манипулятивная южная красавица и мошенник-спекулянт встречаются в бурном романе, в то время как общество вокруг них рушится с окончанием рабства и восстанавливается во время Гражданской войны...Читать полностью"
170,"Карты, деньги, два ствола",1998,United Kingdom,"комедия, криминал","Когда четверо мелких преступников проигрывают в сфальсифицированной игре в покер против лондонского вора в законе, он дает им неделю на погашение огромного долга."
171,Китайский квартал,1974,United States,"Драма, Мистика, Триллер","Частный детектив, нанятый для разоблачения прелюбодея в Лос-Анджелесе 1930-х годов, оказывается в паутине обмана, коррупции и убийств."
172,«V» значит Вендетта,2005,United States,"Боевик, Драма, Научная фантастика","Молодая женщина, живущая в антиутопическом обществе, встречает призрачного борца за свободу, который замышляет свергнуть тираническое правительство."
173,"Поймай меня, если сможешь",2002,United States,"Биография, криминал, драма","Фрэнку едва исполнилось 17, он опытный фальсификатор, прошедший карьеру врача, юриста и пилота. Агент ФБР Карл становится одержим идеей выследить мошенника, который только упивается преследованием."
174,Головоломка,2015,United States,"Анимация, Приключения, Комедия","После того, как юная Райли вырвалась из своей жизни на Среднем Западе и переехала в Сан-Франциско, ее эмоции: радость, страх, гнев, отвращение и печаль - конфликтуют в отношении того, как лучше всего ориентироваться в новом городе, доме и ...Прочитать все"
175,Расёмон,1950,Japan,"криминал, драма, мистика",У трёх сторон и свидетеля есть четыре версии изнасилования/убийства в Японии девятого века.
176,"Три билборда на границе Эббинга, Миссури",2017,United Kingdom,"комедия, криминал, драма","Мать лично бросает вызов местным властям раскрыть убийство ее дочери, когда им не удается поймать преступника."
177,На игле,1996,United Kingdom,"криминал, драма","Рентон, глубоко погруженный в наркосцену Эдинбурга, пытается очиститься и уйти, несмотря на привлекательность наркотиков и влияние друзей."
178,Мост через реку Квай,1957,United Kingdom,"приключения, драма, военный","Британские военнопленные вынуждены построить железнодорожный мост через реку Квай для своих японских захватчиков в оккупированной Бирме, не зная, что союзные войска планируют дерзкий десантный рейд...Читать полностью"
179,Общество мёртвых поэтов,1989,United States,"Комедия, Драма","Учитель Maverick Джон Китинг возвращается в 1959 году в престижную школу-интернат для мальчиков Новой Англии, где он когда-то был лучшим учеником, и с помощью стихов вдохновляет своих учеников на новые высоты самолюбия...Читать полностью"
180,Гарри Поттер и Дары смерти: Часть II,2011,United Kingdom,"Приключение, Семейный, Фэнтези","Гарри, Рон и Гермиона отправились на поиски оставшихся крестражей. С другой стороны, ученики и преподаватели должны объединиться, чтобы защитить Хогвартс от Лорда Волан-де-Морта и его руки...Читать полностью"
181,Дикий робот,2024,United States,"Анимация, Приключения, Семейный","Разумный робот, застрявший на необитаемом острове, воспитывает осиротевшего гусенка, пытаясь приспособиться к местной дикой природе."
182,Воин,2011,United States,"Боевик, Драма, Спорт","Младший сын бывшего боксера-алкоголика возвращается домой, где его отец тренирует его для участия в турнире по смешанным единоборствам - путь, который ставит бойца на столкновение...Читать полностью"
183,Барри Линдон,1975,United Kingdom,"приключения, драма, военный",Ирландский мошенник покоряет сердце богатой вдовы и занимает аристократическое положение ее покойного мужа в Англии XVIII века.
184,Бен-Гур,1959,United States,"приключения, драма","Еврейский принц предан и отправлен в рабство римским другом в Иерусалиме I века, но вскоре он вновь обретает свободу и возвращается, чтобы отомстить."
185,Фарго,1996,United Kingdom,"криминал, драма, триллер","Неумелое преступление продавца автомобилей из Миннесоты Джерри Лундегаарда разваливается из-за неумелых действий его и его приспешников, а также настойчивой полицейской работы довольно беременной Мардж Гандерсон."
186,Малышка на миллион,2004,United States,"Драма, Спорт","Фрэнки, старый вспыльчивый тренер, неохотно соглашается тренировать начинающую боксершу Мэгги. Впечатленный ее решимостью и талантом, он помогает ей стать лучшей, и вскоре они становятся близкими друзьями...Читать полностью"
187,Безумный Макс: Дорога ярости,2015,Australia,"Боевики, Приключения, Научная фантастика","В постапокалиптической пустоши женщина восстает против тирана-правителя в поисках своей родины с помощью группы женщин-заключенных, поклонницы-психопатки и бродяги по имени ...Читать полностью"
188,Бешеный бык,1980,United States,"Биография, Драма, Спорт","Жизнь боксера Джейка Ламотты, чья жестокость и вспыльчивость, приведшие его к вершине ринга, разрушили его жизнь за его пределами."
189,По соображениям совести,2016,United States,"Биография, Драма, История","Медик американской армии времен Второй мировой войны Десмонд Т. Досс, участвовавший во время битвы за Окинаву, отказывается убивать людей и становится первым человеком в американской истории, получившим Почетную медаль с...Читать полностью"
190,Дети небес,1997,Iran,"Драма, Семейный, Спорт","После того, как мальчик теряет пару туфель своей сестры, он отправляется в серию приключений, чтобы их найти. Когда у него это не получается, он пробует новый способ «выиграть» новую пару."
191,Мой сосед Тоторо,1988,Japan,"Анимация, Приключения, Комедия","Когда две девочки переезжают в деревню, чтобы быть рядом со своей больной матерью, их ждут приключения с чудесными лесными духами, живущими неподалеку."
192,Гран Торино,2008,Germany,Драма,"После того, как подросток-хмонг пытается украсть его ценный Гран Торино 1972 года, недовольный и предвзятый ветеран Корейской войны пытается искупить и мальчика, и себя."
193,Рататуй,2007,United States,"Анимация, Приключения, Комедия","Крыса, умеющая готовить, заключает необычный союз с молодым работником кухни известного парижского ресторана."
194,12 лет рабства,2013,United Kingdom,"Биография, Драма, История","В довоенных Соединенных Штатах Соломона Нортапа, свободного чернокожего мужчину из северной части штата Нью-Йорк, похищают и продают в рабство."
195,Отель «Гранд Будапешт»,2014,United States,"Комедия, Драма","Писатель встречает владельца стареющего высококлассного отеля, который рассказывает ему о своих первых годах работы в вестибюле в славные годы отеля под руководством исключительного консьержа."
196,Перед рассветом,1995,United States,"комедия, драма, романтика","Молодой мужчина и женщина встречаются в поезде в Европе и проводят вместе один вечер в Вене. К сожалению, оба знают, что, вероятно, это будет их единственная ночь вместе."
197,Возмутительный класс не прошёл экзамен,1975,Turkey,Комедия,"Группа студентов провалила экзамены и должна вернуться еще на год. Их всех отвлекает новая молодая учительница, на которой они пробуют свои обычные трюки."
198,Воспоминания об убийстве,2003,South Korea,"криминал, драма, мистика","В небольшой корейской провинции в 1986 году два детектива расследуют дело о том, что несколько молодых женщин были найдены изнасилованными и убитыми неизвестным преступником."
199,Как приручить дракона,2010,United States,"Анимация, Боевик, Приключения","Незадачливый молодой викинг, который мечтает охотиться на драконов, сам становится маловероятным другом молодого дракона и узнает, что эти существа могут быть чем-то большим, чем он предполагал."
200,Бегущий по лезвию,1982,United States,"Боевик, Драма, Научная фантастика","Бегущий по лезвию должен преследовать и уничтожить четырех репликантов, которые украли корабль в космосе и вернулись на Землю, чтобы найти своего создателя."
201,Исчезнувшая,2014,United States,"Драма, Мистика, Триллер",Муж пропавшей женщины становится главным подозреваемым в ее исчезновении.
202,Человек-паук: Нет пути домой,2021,United States,"Боевик, Приключения, Фэнтези","Теперь, когда личность Человека-паука раскрыта, Питер просит Доктора Стрэнджа о помощи. Когда заклинание идет не так, начинают появляться опасные враги из других миров."
203,Корпорация монстров,2001,United States,"Анимация, Приключения, Комедия","Чтобы обеспечить город энергией, монстрам приходится пугать детей так, чтобы они кричали. Однако дети токсичны для монстров, и после того, как ребенок проходит, два монстра кое-что осознают...Читать полностью"
204,Челюсти,1975,United States,"приключения, драма, ужасы","Когда огромная акула-убийца сеет хаос на пляже недалеко от Лонг-Айленда, шеф местной полиции, морской биолог и старый моряк должны выследить зверя."
205,Ford против Ferrari,2019,United States,"Боевик, Биография, Драма","Американский автомобильный дизайнер Кэрролл Шелби и водитель Кен Майлз борются с корпоративным вмешательством и законами физики, чтобы построить революционный гоночный автомобиль для Ford и победить Ferrari на 2-м этапе...Читать полностью"
206,Во имя отца,1993,Ireland,"Биография, криминал, драма","Вынужденное признание ирландца перед ИРА. взрывов он не совершал, что привело и к тюремному заключению его отца. Тем временем британский адвокат борется за то, чтобы очистить свои имена и освободить...Читать полностью"
207,Дикие истории,2014,Argentina,"комедия, драма, триллер","Шесть рассказов, в которых исследуются крайности человеческого поведения с участием людей, попавших в беду."
208,Золотая лихорадка,1925,United States,"приключения, комедия, драма","Старатель отправляется на Клондайк во время золотой лихорадки 1890-х годов в надежде разбогатеть и влюбляется в девушку, которую видит в танцевальном зале."
209,Шерлок младший,1924,United States,"Боевик, Комедия, Романтика","Киномеханик мечтает стать детективом и применяет свои скудные навыки, когда соперник обвиняет его в краже карманных часов отца его девушки."
210,Мэри и Макс,2009,Australia,"Анимация, Комедия, Драма","В 1976 году в Мельбурне одинокая 8-летняя девочка завязывает переписку с маловероятным другом по переписке: 44-летним жителем Нью-Йорка, страдающим ожирением и синдромом Аспергера."
211,Охотник на оленей,1978,United States,"Драма, Военный",Жизнь группы друзей навсегда изменилась из-за войны во Вьетнаме.
212,Плата за страх,1953,France,"приключения, драма, триллер","В ветхой южноамериканской деревне четверо мужчин нанимаются для перевозки срочной партии нитроглицерина без оборудования, которое могло бы сделать ее безопасной."
213,Паровоз Генерал,1926,United States,"Боевик, Приключения, Комедия","Будучи отвергнутым военными Конфедерации, инженер, не осознавая, что это произошло из-за его решающей гражданской роли, должен в одиночку вернуть свой любимый локомотив после того, как он был конфискован...Читать полностью"
214,Логан,2017,United States,"Боевик, Драма, Научная фантастика","В будущем, где мутанты практически вымерли, пожилой и уставший Логан ведет тихую жизнь. Но когда к нему за помощью приходит Лора, ребенок-мутант, преследуемый учеными, он должен заставить ее...Читать полностью"
215,Рокки,1976,United States,"Драма, Спорт","Маленький боксер из Филадельфии получает чрезвычайно редкий шанс сразиться с чемпионом мира в тяжелом весе в бою, в котором он стремится пройти дистанцию ​​ради своего самоуважения."
216,Мистер Смит едет в Вашингтон,1939,United States,"Комедия, Драма","Наивный молодежный лидер назначен на вакансию в Сенате США. Его идеалистические планы тут же сталкиваются с коррупцией внутри страны и уловками его героя в Вашингтоне, но он пытается...Читать полностью"
217,Пираты Карибского моря: Проклятие Чёрной жемчужины,2003,United States,"Боевик, Приключения, Фэнтези","Бесстрашный кузнец объединяется с эксцентричным пиратским капитаном, чтобы спасти свою возлюбленную от пиратской команды-нежити."
218,Токийская повесть,1953,Japan,Драма,"Пожилая пара навещает своих детей и внуков в городе, но уделяет им мало внимания."
219,В порту,1954,United States,"криминал, драма, триллер","Бывший боец, ставший грузчиком в Нью-Джерси, изо всех сил пытается противостоять своим коррумпированным профсоюзным боссам, включая старшего брата, и начинает общаться со скорбящей сестрой одного из ...Читать полностью"
220,Форма голоса,2016,Japan,"Анимация, Драма","Глухая девочка Сёко подвергается издевательствам со стороны популярного Сёя. Пока Сёя продолжает запугивать Сёко, класс отворачивается от него. Шоко переезжает, и Сёя растет изгоем. Одинокий и подавленный...Читать все"
221,Ненависть,1995,France,"криминал, драма",24 часа из жизни трех молодых людей во французском пригороде на следующий день после жестоких беспорядков.
222,В центре внимания,2015,United States,"Биография, криминал, драма","Правдивая история о том, как газета Boston Globe раскрыла масштабный скандал, связанный с растлением детей и сокрытием информации в местной католической архиепархии, потрясший всю католическую церковь до основания."
223,Земляничная поляна,1957,Sweden,"Драма, Романтика","Прожив жизнь, отмеченную холодом, стареющий профессор вынужден столкнуться с пустотой своего существования."
224,Терминатор,1984,United Kingdom,"Боевики, Приключения, Научная фантастика","Киборг-убийца из будущего пытается найти и убить молодую женщину, которой суждено родить воина, который возглавит сопротивление, чтобы спасти человечество от вымирания."
225,Да прольётся свет,2021,India,"криминал, драма","Когда мужчину из племени арестовывают по делу о предполагаемой краже, его жена обращается к адвокату по правам человека, чтобы помочь восстановить справедливость."
226,Звуки музыки,1965,United States,"Биография, Драма, Семейный","Юную послушницу отправляют из монастыря в Австрию 1930-х годов, чтобы она стала гувернанткой у семерых детей овдовевшего военно-морского офицера."
227,Махараджа,2024,India,"Боевик, Криминал, Драма","Парикмахер жаждет отомстить после ограбления его дома, загадочно сообщая полиции, что его «лакшми» украли, в результате чего они не уверены, человек это или предмет. Его стремление вернуть электронную...Читать полностью"
228,Третий человек,1949,United Kingdom,"Драма, Нуар, Мистика","Криминальный романист Холли Мартинс отправляется в мрачную, загадочную послевоенную Вену только для того, чтобы расследовать загадочную внезапную смерть старого друга Гарри Лайма."
229,Человек-бензопила. Фильм: История Резе,2025,Japan,"Анимация, Боевик, Приключения","Прямое продолжение первого сезона сериала «Человек с бензопилой», в котором рассказывается о Денджи, молодом человеке, который сосуществует с демоном бензопилой. У Денджи появляется новый романтический интерес, но будет ли его приглашен...Читать полностью"
230,Большой Лебовски,1998,United Kingdom,"комедия, криминал","Джефф «Чувак» Лебовски, которого ошибочно принимают за одноименного миллионера, добивается возмещения ущерба за свой испорченный ковер и просит своих друзей по боулингу помочь его получить."
231,Лучшие годы нашей жизни,1946,United States,"Драма, Романтика, Военный","Трое ветеранов Великой Отечественной войны возвращаются домой навсегда изменившимися, и им трудно приспособиться к новым реалиям."
232,Перед закатом,2004,United States,"Драма, Романтика",Через девять лет после первой встречи Джесси и Селин они снова встречаются во время французского книжного тура Джесси.
233,Седьмая печать,1957,Sweden,"Драма, Фэнтези","Рыцарь, возвращающийся в Швецию после крестовых походов, ищет ответы о жизни, смерти и существовании Бога, играя в шахматы против Мрачного Жнеца во время Черной чумы."
234,Комната,2015,Ireland,"Драма, Триллер","Маленький мальчик с самого рождения находится в плену в комнате со своей матерью, поэтому он никогда не познавал внешний мир."
235,Отель «Руанда»,2004,United States,"Биография, Драма, История","Пол Русесабагина, менеджер отеля, размещает более тысячи беженцев тутси во время их борьбы с ополчением хуту в Руанде, Африка."
236,Суперсемейка,2004,United States,"Анимация, Боевик, Приключения","Пытаясь вести тихую загородную жизнь, семья супергероев под прикрытием вынуждена действовать, чтобы спасти мир."
237,Взвод,1986,United States,"Драма, Военный","Крис Тейлор, новобранец-новичок во Вьетнаме, оказывается втянутым в битву воли между двумя сержантами, добрыми и злыми. Проницательное исследование жестокости войны и...Читать полностью"
238,Хатико: самый верный друг,2009,United Kingdom,"Биография, Драма, Семейный","Профессор Уилсон по пути домой обнаруживает потерявшегося щенка Акиты. Несмотря на возражения жены, Хачи вызывает расположение семьи и становится верным товарищем Паркера. Поскольку их связь г...Читать все"
239,Изгоняющий дьявола,1973,United States,Ужас,"Когда загадочная сущность вселяется в юную девушку, ее мать обращается за помощью к двум католическим священникам, чтобы спасти ей жизнь."
240,Гонка,2013,United Kingdom,"Биография, Драма, Спорт","Джеймс Хант и Ники Лауда, два чрезвычайно опытных гонщика Формулы-1, ведут острую конкуренцию друг с другом. Однако именно их враждебность доводит их до предела."
241,Стальной гигант,1999,United States,"Анимация, Боевик, Приключения","Маленький мальчик дружит с гигантским роботом из космоса, которого параноидальный правительственный агент хочет уничтожить."
242,Волшебник страны Оз,1939,United States,"Приключение, Семейный, Фэнтези","Юную Дороти Гейл и ее собаку Тото уносит торнадо с их фермы в Канзасе в волшебную Страну Оз, и они вместе с тремя новыми друзьями отправляются на поиски, чтобы увидеть Волшебника, который сможет вернуться...Читать полностью"
243,Останься со мной,1986,United States,"приключения, драма","Писатель рассказывает о своем детском путешествии с друзьями, чтобы увидеть тело мальчика, пропавшего в лесу."
244,Мой отец и мой сын,2005,Turkey,"Драма, Семейный",Семья левого журналиста разлучена после военного переворота в Турции в 1980 году.
245,Битва за Алжир,1966,Italy,"Драма, Военный","В 1950-е годы страх и насилие возрастают по мере того, как жители Алжира борются за независимость от французского правительства."
246,Страсти Жанны д'Арк,1928,France,"Биография, Драма, История","В 1431 году Жанну д'Арк предстают перед судом по обвинению в ереси, и церковные юристы пытаются заставить ее отказаться от своих утверждений о святых видениях."
247,Служанка,2016,South Korea,"драма, романтика, триллер","В Корее 1930-х годов девушку нанимают служанкой к японской наследнице, которая ведет уединенную жизнь в загородном поместье. Но у горничной есть секрет: она карманница, завербованная мошенничеством...Читать полностью"
248,Телесеть,1976,United States,Драма,"Телевизионная сеть цинично использует бред и разоблачения невменяемого бывшего ведущего о средствах массовой информации для собственной выгоды, но обнаруживает, что его послание может быть трудно контролировать."
249,Видимость,2015,India,"криминал, драма, мистика","Отчаянные меры принимает мужчина, который пытается спасти свою семью от темной стороны закона после того, как они совершают неожиданное преступление."
250,Чудо в камере No7,2019,Turkey,Драма,"История любви психически больного отца, ошибочно обвиненного в убийстве, и его очаровательной шестилетней дочери. Тюрьма станет их домом. По мотивам корейского фильма 2013 года «Чудо в камере» ...Читать полностью"
