rank,title,year,country,genres,description,rating_kp,rating_imdb,votes_imdb,description_processed,topic,topic_confidence,predicted_topic,predicted_probability
197,Барри Линдон,1975,United Kingdom,"приключения, драма, военный",Ирландский мошенник покоряет сердце богатой вдовы и занимает аристократическое положение ее покойного мужа в Англии XVIII века.,8.0,8.1,203000,ирландский мошенник покорять сердце богатый вдова занимать аристократический положение покойный муж англия xviii век,3,0.05249177380170295,3,0.649662762022599
198,Бен-Гур,1959,United States,"приключения, драма","Еврейский принц предан и отправлен в рабство римским другом в Иерусалиме I века, но вскоре он вновь обретает свободу и возвращается, чтобы отомстить.",8.1,8.1,269000,еврейский принц предать отправить рабство римский друг иерусалим век вскоре вновь обретать свобода возвращаться отомстить,3,0.0361008650837291,3,0.5950944560451059
199,Малышка на миллион,2004,United States,"Драма, Спорт","Фрэнки, старый вспыльчивый тренер, неохотно соглашается тренировать начинающую боксершу Мэгги. Впечатленный ее решимостью и талантом, он помогает ей стать лучшей, и вскоре они становятся близкими друзьями...Читать полностью",8.2,8.1,763000,фрэнк вспыльчивый тренер неохотно соглашаться тренировать начинающий боксёрш мэгга впечатлить решимость талант помогать стать вскоре становиться близкий друг читать полностью,1,0.2532131741639152,1,0.5982069592951562
200,Безумный Макс: Дорога ярости,2015,Australia,"Боевики, Приключения, Научная фантастика","В постапокалиптической пустоши женщина восстает против тирана-правителя в поисках своей родины с помощью группы женщин-заключенных, поклонницы-психопатки и бродяги по имени ...Читать полностью",7.8,8.1,1200000,постапокалиптический пустошь женщина восставать против тиран правитель поиск родина помощь группа женщина заключить поклонница психопатка бродяга имя читать полностью,1,0.23582498504440377,1,0.5996086740195159
201,Бешеный бык,1980,United States,"Биография, Драма, Спорт","Жизнь боксера Джейка Ламотты, чья жестокость и вспыльчивость, приведшие его к вершине ринга, разрушили его жизнь за его пределами.",7.8,8.1,409000,жизнь боксёр джейк ламотт чей жестокость вспыльчивость привести вершина ринг разрушить жизнь предел,0,0.0541528960334533,0,0.5805695054775564
202,По соображениям совести,2016,United States,"Биография, Драма, История","Медик американской армии времен Второй мировой войны Десмонд Т. Досс, участвовавший во время битвы за Окинаву, отказывается убивать людей и становится первым человеком в американской истории, получившим Почетную медаль с...Читать полностью",8.2,8.1,675000,медик американский армия время второй мировой война десмонд досс участвовать время битва окинава отказываться убивать человек становиться человек американский история получить почётный медаль читать полностью,2,0.4076527645846386,2,0.4458640596851128
203,Мой сосед Тоторо,1988,Japan,"Анимация, Приключения, Комедия","Когда две девочки переезжают в деревню, чтобы быть рядом со своей больной матерью, их ждут приключения с чудесными лесными духами, живущими неподалеку.",8.2,8.1,428000,девочка переезжать деревня рядом больной мать ждать приключение чудесный лесной дух жить неподалёку,0,0.02947897828577263,0,0.5636495014949615
204,Гран Торино,2008,Germany,Драма,"После того, как подросток-хмонг пытается украсть его ценный Гран Торино 1972 года, недовольный и предвзятый ветеран Корейской войны пытается искупить и мальчика, и себя.",8.1,8.1,859000,подросток хмонг пытаться украсть ценный гран торино год недовольный предвзятый ветеран корейский война пытаться искупить мальчик,3,0.22315439440128476,3,0.7177256941050251
205,Рататуй,2007,United States,"Анимация, Приключения, Комедия","Крыса, умеющая готовить, заключает необычный союз с молодым работником кухни известного парижского ресторана.",8.1,8.1,935000,крыса уметь готовить заключать необычный союз молодой работник кухня известный парижский ресторан,3,0.028160173814781073,3,0.5912145338958402
206,12 лет рабства,2013,United Kingdom,"Биография, Драма, История","В довоенных Соединенных Штатах Соломона Нортапа, свободного чернокожего мужчину из северной части штата Нью-Йорк, похищают и продают в рабство.",8.0,8.1,784000,довоенный соединить штат соломон нортапа свободный чернокожий мужчина северный часть штат нью йорк похищать продавать рабство,3,0.15507992708727739,3,0.5941327153379273
207,Отель «Гранд Будапешт»,2014,United States,"Комедия, Драма","Писатель встречает владельца стареющего высококлассного отеля, который рассказывает ему о своих первых годах работы в вестибюле в славные годы отеля под руководством исключительного консьержа.",8.0,8.1,964000,писатель встречать владелец стареть высококлассный отель рассказывать год работа вестибюль славный год отель руководство исключительный консьерж,3,0.15801761508611778,3,0.7573009261458732
208,Перед рассветом,1995,United States,"комедия, драма, романтика","Молодой мужчина и женщина встречаются в поезде в Европе и проводят вместе один вечер в Вене. К сожалению, оба знают, что, вероятно, это будет их единственная ночь вместе.",8.0,8.1,375000,молодой мужчина женщина встречаться поезд европа проводить вместе вечер вена сожаление знать вероятно единственный ночь вместе,0,0.061145660506605734,0,0.48493821271100546
209,Воспоминания об убийстве,2003,South Korea,"криминал, драма, мистика","В небольшой корейской провинции в 1986 году два детектива расследуют дело о том, что несколько молодых женщин были найдены изнасилованными и убитыми неизвестным преступником.",7.7,8.1,263000,небольшой корейский провинция год детектив расследовать дело несколько молодой женщина найти изнасиловать убитый неизвестный преступник,3,0.22228488729749513,3,0.7570972208777934
210,Как приручить дракона,2010,United States,"Анимация, Боевик, Приключения","Незадачливый молодой викинг, который мечтает охотиться на драконов, сам становится маловероятным другом молодого дракона и узнает, что эти существа могут быть чем-то большим, чем он предполагал.",8.2,8.1,888000,незадачливый молодой викинг мечтать охотиться дракон становиться маловероятный друг молодой дракон узнать существо мочь больший предполагать,0,0.07511509340862503,0,0.6740827043718892
211,Бегущий по лезвию,1982,United States,"Боевик, Драма, Научная фантастика","Бегущий по лезвию должен преследовать и уничтожить четырех репликантов, которые украли корабль в космосе и вернулись на Землю, чтобы найти своего создателя.",7.7,8.1,878000,бежать лезвие преследовать уничтожить четыре репликант украсть корабль космос вернуться земля найти создатель,3,0.05322827143690915,3,0.6545135192952295
212,Исчезнувшая,2014,United States,"Драма, Мистика, Триллер",Муж пропавшей женщины становится главным подозреваемым в ее исчезновении.,8.0,8.1,1200000,муж пропасть женщина становиться главный подозревать исчезновение,3,0.1116449469921713,3,0.5713878509497577
213,Человек-паук: Нет пути домой,2021,United States,"Боевик, Приключения, Фэнтези","Теперь, когда личность Человека-паука раскрыта, Питер просит Доктора Стрэнджа о помощи. Когда заклинание идет не так, начинают появляться опасные враги из других миров.",7.9,8.1,1000000,личность человек паук раскрыть питер просить доктор стрэнджа помощь заклинание идти начинать появляться опасный враг мир,0,0.13064757103741073,0,0.7401974045779961
214,Корпорация монстров,2001,United States,"Анимация, Приключения, Комедия","Чтобы обеспечить город энергией, монстрам приходится пугать детей так, чтобы они кричали. Однако дети токсичны для монстров, и после того, как ребенок проходит, два монстра кое-что осознают...Читать полностью",8.1,8.1,1100000,обеспечить город энергия монстр приходиться пугать ребёнок кричать однако ребёнок токсичный монстр ребёнок проходить монстр кой осознавать читать полностью,1,0.20718275412921253,1,0.5115685114805405
215,Челюсти,1975,United States,"приключения, драма, ужасы","Когда огромная акула-убийца сеет хаос на пляже недалеко от Лонг-Айленда, шеф местной полиции, морской биолог и старый моряк должны выследить зверя.",7.3,8.1,733000,огромный акула убийца сеять хаос пляж недалеко лонг айленд шеф местный полиция морской биолог моряк выследить зверь,3,0.1414983066592143,3,0.7498688988335831
216,Ford против Ferrari,2019,United States,"Боевик, Биография, Драма","Американский автомобильный дизайнер Кэрролл Шелби и водитель Кен Майлз борются с корпоративным вмешательством и законами физики, чтобы построить революционный гоночный автомобиль для Ford и победить Ferrari на 2-м этапе...Читать полностью",8.2,8.1,565000,американский автомобильный дизайнер кэрролл шелбить водитель кен майлз бороться корпоративный вмешательство закон физика построить революционный гоночный автомобиль ford победить ferrari этап читать полностью,1,0.25095663123920225,1,0.6136226939139378
217,Во имя отца,1993,Ireland,"Биография, криминал, драма","Вынужденное признание ирландца перед ИРА. взрывов он не совершал, что привело и к тюремному заключению его отца. Тем временем британский адвокат борется за то, чтобы очистить свои имена и освободить...Читать полностью",7.8,8.1,202000,вынужденный признание ирландец взрыв совершать привести тюремный заключение отец время британский адвокат бороться очистить имя освободить читать полностью,1,0.2607923631181146,1,0.6527875464716701
218,Дикие истории,2014,Argentina,"комедия, драма, триллер","Шесть рассказов, в которых исследуются крайности человеческого поведения с участием людей, попавших в беду.",7.7,8.1,237000,шесть рассказ исследуться крайность человеческий поведение участие человек попасть беда,0,0.06337958216499444,0,0.7437051644657083
219,Золотая лихорадка,1925,United States,"приключения, комедия, драма","Старатель отправляется на Клондайк во время золотой лихорадки 1890-х годов в надежде разбогатеть и влюбляется в девушку, которую видит в танцевальном зале.",8.0,8.1,128000,старатель отправляться клондайк время золотой лихорадка год надежда разбогатеть влюбляться девушка видеть танцевальный зал,3,0.1355131885183196,3,0.6399183331741743
220,Шерлок младший,1924,United States,"Боевик, Комедия, Романтика","Киномеханик мечтает стать детективом и применяет свои скудные навыки, когда соперник обвиняет его в краже карманных часов отца его девушки.",8.1,8.1,65000,киномеханик мечтать стать детектив применять скудный навык соперник обвинять кража карманный час отец девушка,0,0.04069743508300422,0,0.5321871998535906
221,Мэри и Макс,2009,Australia,"Анимация, Комедия, Драма","В 1976 году в Мельбурне одинокая 8-летняя девочка завязывает переписку с маловероятным другом по переписке: 44-летним жителем Нью-Йорка, страдающим ожирением и синдромом Аспергера.",7.9,8.1,201000,год мельбурн одинокий летний девочка завязывать переписка маловероятный друг переписка летний житель нью йорк страдать ожирение синдром аспергера,3,0.23298496153658968,3,0.8004335720217599
222,Охотник на оленей,1978,United States,"Драма, Военный",Жизнь группы друзей навсегда изменилась из-за войны во Вьетнаме.,7.8,8.1,385000,жизнь группа друг навсегда измениться война вьетнам,2,0.09024833714242378,0,0.5016248783536932
223,Плата за страх,1953,France,"приключения, драма, триллер","В ветхой южноамериканской деревне четверо мужчин нанимаются для перевозки срочной партии нитроглицерина без оборудования, которое могло бы сделать ее безопасной.",7.9,8.1,73000,ветхий южноамериканский деревня четверо мужчина наниматься перевозка срочный партия нитроглицерин оборудование мочь сделать безопасный,0,0.034810754769461785,0,0.6840030869610443
224,Паровоз Генерал,1926,United States,"Боевик, Приключения, Комедия","Будучи отвергнутым военными Конфедерации, инженер, не осознавая, что это произошло из-за его решающей гражданской роли, должен в одиночку вернуть свой любимый локомотив после того, как он был конфискован...Читать полностью",7.9,8.1,106000,отвергнуть военный конфедерация инженер осознавать произойти решающий гражданский роль одиночка вернуть любимый локомотив конфисковать читать полностью,1,0.23253755704645943,1,0.6053976131294443
225,Логан,2017,United States,"Боевик, Драма, Научная фантастика","В будущем, где мутанты практически вымерли, пожилой и уставший Логан ведет тихую жизнь. Но когда к нему за помощью приходит Лора, ребенок-мутант, преследуемый учеными, он должен заставить ее...Читать полностью",7.7,8.1,921000,будущее мутант практически вымереть пожилой устать логан вести тихий жизнь помощь приходить лор ребёнок мутант преследовать учёный заставить читать полностью,1,0.22981334995093478,1,0.3873783728418077
226,Рокки,1976,United States,"Драма, Спорт","Маленький боксер из Филадельфии получает чрезвычайно редкий шанс сразиться с чемпионом мира в тяжелом весе в бою, в котором он стремится пройти дистанцию ​​ради своего самоуважения.",8.0,8.1,685000,боксёр филадельфия получать чрезвычайно редкий шанс сразиться чемпион мир тяжёлый вес бой стремиться пройти дистанция ради самоуважение,0,0.054819016289504696,0,0.7226477157595843
227,Мистер Смит едет в Вашингтон,1939,United States,"Комедия, Драма","Наивный молодежный лидер назначен на вакансию в Сенате США. Его идеалистические планы тут же сталкиваются с коррупцией внутри страны и уловками его героя в Вашингтоне, но он пытается...Читать полностью",7.8,8.1,129000,наивный молодёжный лидер назначить вакансия сенат сша идеалистический план сталкиваться коррупция внутри страна уловка герой вашингтон пытаться читать полностью,1,0.27750478273732,1,0.6622900908842152
228,Токийская повесть,1953,Japan,Драма,"Пожилая пара навещает своих детей и внуков в городе, но уделяет им мало внимания.",8.0,8.1,77000,пожилой пара навещать ребёнок внук город уделять мало внимание,3,0.03766456986848936,3,0.6539193494371575
229,В порту,1954,United States,"криминал, драма, триллер","Бывший боец, ставший грузчиком в Нью-Джерси, изо всех сил пытается противостоять своим коррумпированным профсоюзным боссам, включая старшего брата, и начинает общаться со скорбящей сестрой одного из ...Читать полностью",7.6,8.1,176000,бывший боец стать грузчик нью джерси весь сила пытаться противостоять коррумпировать профсоюзный босс включая старший брат начинать общаться скорбеть сестра читать полностью,1,0.18157407161362799,3,0.4006999793595897
230,Ненависть,1995,France,"криминал, драма",24 часа из жизни трех молодых людей во французском пригороде на следующий день после жестоких беспорядков.,7.8,8.1,224000,час жизнь молодой человек французский пригород следующий день жестокий беспорядок,0,0.09576970105810388,0,0.6241381624633282
231,В центре внимания,2015,United States,"Биография, криминал, драма","Правдивая история о том, как газета Boston Globe раскрыла масштабный скандал, связанный с растлением детей и сокрытием информации в местной католической архиепархии, потрясший всю католическую церковь до основания.",7.7,8.1,533000,правдивый история газета boston globe раскрыть масштабный скандал связанный растление ребёнок сокрытие информация местный католический архиепархия потрясти весь католический церковь основание,3,0.04689378383673888,3,0.4949227946809747
232,Земляничная поляна,1957,Sweden,"Драма, Романтика","Прожив жизнь, отмеченную холодом, стареющий профессор вынужден столкнуться с пустотой своего существования.",8.0,8.1,124000,прожить жизнь отметить холод стареть профессор вынудить столкнуться пустота существование,0,0.06825128745135642,0,0.6381575390604546
233,Терминатор,1984,United Kingdom,"Боевики, Приключения, Научная фантастика","Киборг-убийца из будущего пытается найти и убить молодую женщину, которой суждено родить воина, который возглавит сопротивление, чтобы спасти человечество от вымирания.",8.0,8.1,999000,киборг убийца будущее пытаться найти убить молодой женщина суждено родить воин возглавить сопротивление спасти человечество вымирание,3,0.17569154311222487,3,0.6750830810292113
234,Звуки музыки,1965,United States,"Биография, Драма, Семейный","Юную послушницу отправляют из монастыря в Австрию 1930-х годов, чтобы она стала гувернанткой у семерых детей овдовевшего военно-морского офицера.",8.1,8.1,290000,юный послушница отправлять монастырь австрия год стать гувернантка семеро ребёнок овдоветь военный морской офицер,3,0.09125010960897663,3,0.5991066615130276
235,Третий человек,1949,United Kingdom,"Драма, Нуар, Мистика","Криминальный романист Холли Мартинс отправляется в мрачную, загадочную послевоенную Вену только для того, чтобы расследовать загадочную внезапную смерть старого друга Гарри Лайма.",7.6,8.1,195000,криминальный романист холль мартинс отправляться мрачный загадочный послевоенный вена расследовать загадочный внезапный смерть старое друг гарри лайм,0,0.05616827014867114,0,0.6220013209433093
236,Большой Лебовски,1998,United Kingdom,"комедия, криминал","Джефф «Чувак» Лебовски, которого ошибочно принимают за одноименного миллионера, добивается возмещения ущерба за свой испорченный ковер и просит своих друзей по боулингу помочь его получить.",7.8,8.1,913000,джефф чувак лебовск ошибочно принимать одноимённый миллионер добиваться возмещение ущерб испортить ковёр просить друг боулинг помочь получить,3,0.03394294745006602,3,0.5831975488657586
237,Лучшие годы нашей жизни,1946,United States,"Драма, Романтика, Военный","Трое ветеранов Великой Отечественной войны возвращаются домой навсегда изменившимися, и им трудно приспособиться к новым реалиям.",7.8,8.1,77000,трое ветеран великий отечественный война возвращаться домой навсегда измениться трудно приспособиться реалия,2,0.05706678252625239,0,0.433729307448631
238,Перед закатом,2004,United States,"Драма, Романтика",Через девять лет после первой встречи Джесси и Селин они снова встречаются во время французского книжного тура Джесси.,7.7,8.1,313000,девять год встреча джесси селина снова встречаться время французский книжный тур джесси,3,0.11359166482869895,3,0.6876129359244799
239,Седьмая печать,1957,Sweden,"Драма, Фэнтези","Рыцарь, возвращающийся в Швецию после крестовых походов, ищет ответы о жизни, смерти и существовании Бога, играя в шахматы против Мрачного Жнеца во время Черной чумы.",8.0,8.1,215000,рыцарь возвращаться швеция крестовый поход искать ответ жизнь смерть существование бог играть шахматы против мрачный жнец время чёрный чума,0,0.06863022089552087,0,0.7427002437757474
240,Комната,2015,Ireland,"Драма, Триллер","Маленький мальчик с самого рождения находится в плену в комнате со своей матерью, поэтому он никогда не познавал внешний мир.",7.6,8.1,479000,мальчик рождение находиться плен комната мать поэтому познавать внешний мир,0,0.05427899552910215,0,0.6756757183100113
241,Отель «Руанда»,2004,United States,"Биография, Драма, История","Пол Русесабагина, менеджер отеля, размещает более тысячи беженцев тутси во время их борьбы с ополчением хуту в Руанде, Африка.",7.8,8.1,391000,пол русесабагин менеджер отель размещать тысяча беженец тутси время борьба ополчение хут руанда африка,3,0.055114260920775364,3,0.4666354853275907
242,Взвод,1986,United States,"Драма, Военный","Крис Тейлор, новобранец-новичок во Вьетнаме, оказывается втянутым в битву воли между двумя сержантами, добрыми и злыми. Проницательное исследование жестокости войны и...Читать полностью",8.0,8.1,471000,крис тейлор новобранец новичок вьетнам оказываться втянутый битва воля сержант добрый злой проницательный исследование жестокость война читать полностью,1,0.2384425794660397,1,0.4922916197076813
243,Изгоняющий дьявола,1973,United States,Ужас,"Когда загадочная сущность вселяется в юную девушку, ее мать обращается за помощью к двум католическим священникам, чтобы спасти ей жизнь.",7.7,8.1,496000,загадочный сущность вселяться юный девушка мать обращаться помощь католический священник спасти жизнь,0,0.06687552089149729,0,0.6778197612250902
244,Гонка,2013,United Kingdom,"Биография, Драма, Спорт","Джеймс Хант и Ники Лауда, два чрезвычайно опытных гонщика Формулы-1, ведут острую конкуренцию друг с другом. Однако именно их враждебность доводит их до предела.",8.1,8.1,556000,джеймс хант ника лауд чрезвычайно опытный гонщик формула вести острый конкуренция друг друг однако именно враждебность доводить предел,0,0.07092058180956831,0,0.5875274159942235
245,Стальной гигант,1999,United States,"Анимация, Боевик, Приключения","Маленький мальчик дружит с гигантским роботом из космоса, которого параноидальный правительственный агент хочет уничтожить.",8.1,8.1,258000,мальчик дружить гигантский робот космос параноидальный правительственный агент хотеть уничтожить,3,0.034402589571563794,3,0.5648619425482831
246,Волшебник страны Оз,1939,United States,"Приключение, Семейный, Фэнтези","Юную Дороти Гейл и ее собаку Тото уносит торнадо с их фермы в Канзасе в волшебную Страну Оз, и они вместе с тремя новыми друзьями отправляются на поиски, чтобы увидеть Волшебника, который сможет вернуться...Читать полностью",7.7,8.1,465000,юный дороти гейл собака тоть уносить торнадо ферма канзас волшебный страна вместе друг отправляться поиск увидеть волшебник смочь вернуться читать полностью,1,0.23998036089065006,1,0.5596703163155958
247,Останься со мной,1986,United States,"приключения, драма","Писатель рассказывает о своем детском путешествии с друзьями, чтобы увидеть тело мальчика, пропавшего в лесу.",7.8,8.1,484000,писатель рассказывать детский путешествие друг увидеть тело мальчик пропасть лес,3,0.07305239380993783,3,0.5132209606296013
248,Битва за Алжир,1966,Italy,"Драма, Военный","В 1950-е годы страх и насилие возрастают по мере того, как жители Алжира борются за независимость от французского правительства.",7.6,8.1,75000,год страх насилие возрастать мера житель алжир бороться независимость французский правительство,3,0.11771106445958596,3,0.6962684405922599
249,Страсти Жанны д'Арк,1928,France,"Биография, Драма, История","В 1431 году Жанну д'Арк предстают перед судом по обвинению в ереси, и церковные юристы пытаются заставить ее отказаться от своих утверждений о святых видениях.",8.0,8.1,68000,год жанна арк представать суд обвинение ересь церковный юрист пытаться заставить отказаться утверждение святой видение,3,0.16603179119310243,3,0.7780143826148689
250,Служанка,2016,South Korea,"драма, романтика, триллер","В Корее 1930-х годов девушку нанимают служанкой к японской наследнице, которая ведет уединенную жизнь в загородном поместье. Но у горничной есть секрет: она карманница, завербованная мошенничеством...Читать полностью",7.7,8.1,201000,корея год девушка нанимать служанка японский наследница вести уединённый жизнь загородный поместье горничная секрет карманница завербовать мошенничество читать полностью,1,0.24625717560986185,1,0.5881513601556603
251,Телесеть,1976,United States,Драма,"Телевизионная сеть цинично использует бред и разоблачения невменяемого бывшего ведущего о средствах массовой информации для собственной выгоды, но обнаруживает, что его послание может быть трудно контролировать.",7.7,8.1,185000,телевизионный сеть цинично использовать бред разоблачение невменяемый бывший ведущий средство массовый информация собственный выгода обнаруживать послание мочь трудно контролировать,3,0.07331306935228353,0,0.48325565307159285
252,Мстители,2012,США,"фантастика, боевик, фэнтези, приключения","Локи возвращается, и в этот раз он не один. Земля оказывается на грани порабощения, и только лучшие из лучших могут спасти человечество. Глава международной организации Щ. И. Т. Ник Фьюри собирает выдающихся защитников справедливости и добра. Под предводительством Капитана Америки Железный Человек, Тор, Невероятный Халк, Соколиный Глаз и Чёрная Вдова вступают в войну с захватчиком.",7.9,8.0,1500000,лока возвращаться земля оказываться грань порабощение мочь спасти человечество глава международный организация ник фьюри собирать выдающийся защитник справедливость добро предводительство капитан америка железный человек тор невероятный халк соколиный глаз рный вдова вступать война захватчик,0,0.11141717317944967,0,0.79065279138395
253,Стражи Галактики,2014,"США, Великобритания","фантастика, боевик, приключения, комедия","Отважному путешественнику Питеру Квиллу попадает в руки таинственный артефакт, принадлежащий могущественному и безжалостному злодею Ронану, строящему коварные планы по захвату Вселенной. Питер оказывается в центре межгалактической охоты, где жертва — он сам.

Единственный способ спасти свою жизнь — объединиться с четверкой нелюдимых изгоев: воинственным енотом по кличке Ракета, человекоподобным деревом Грутом, смертельно опасной Гаморой и одержимым жаждой мести Драксом, также известным как Разрушитель. Когда Квилл понимает, какой силой обладает украденный артефакт и какую опасность он представляет для вселенной, одиночка пойдет на все, чтобы сплотить случайных союзников для решающей битвы за судьбу галактики.",7.9,8.0,1400000,отважный путешественник питер квилл попадать рука таинственный артефакт принадлежащий могущественный безжалостный злодей ронана строить коварный план захват вселенная питер оказываться центр межгалактический охота жертва единственный способ спасти жизнь объединиться четвёрка нелюдимый изгой воинственный енот кличка ракета человекоподобный дерево грутом смертельно опасный гамора одержимый жажда месть дракс также известный разрушитель квилл понимать сила обладать украсть артефакт опасность представлять вселенная одиночка пойти сплотить случайный союзник решающий битва судьба галактика,0,0.11865040781033523,0,0.7828597402986865
254,Титаник,1997,США,"мелодрама, триллер, драма","Апрель 1912 года. В первом и последнем плавании шикарного «Титаника» встречаются двое. Пассажир нижней палубы Джек выиграл билет в карты, а богатая наследница Роза отправляется в Америку, чтобы выйти замуж по расчёту. Чувства молодых людей только успевают расцвести, и даже не классовые различия создадут испытания влюблённым, а айсберг, вставший на пути считавшегося непотопляемым лайнера.",8.4,8.0,1400000,апрель год плавание шикарный титаник встречаться двое пассажир нижний палуба джек выиграть билет карта богатый наследница роза отправляться америка выйти замуж расча чувство молодой человек успевать расцвести классовый различие создать испытание влюбла нный айсберг встать путь считаться непотопляемый лайнер,0,0.07329091741447159,0,0.5865440244865051
255,Дэдпул,2016,США,"боевик, комедия","Уэйд Уилсон — наёмник. Будучи побочным продуктом программы вооружённых сил под названием «Оружие X», Уилсон приобрёл невероятную силу, проворство и способность к исцелению. Но страшной ценой: его клеточная структура постоянно меняется, а здравомыслие сомнительно. Всё, чего хочет Уилсон, — держаться на плаву в социальной выгребной яме. Но течение в ней слишком быстрое.",7.6,8.0,1200000,уэйд уилсон мникнуть побочный продукт программа вооруж нный сила название оружие уилсон приобразец невероятный сила проворство способность исцеление страшный цена клеточный структура постоянно меняться здравомыслие сомнительно хотеть уилсон держаться плав социальный выгребной яма течение слишком быстрый,0,0.0706128242112654,0,0.7198750213164514
256,Марсианин,2015,"США, Великобритания, Венгрия, Иордания","фантастика, приключения, драма, комедия, триллер","Марсианская миссия «Арес-3» в процессе работы вынуждена экстренно покинуть планету из-за быстро надвигающейся песчаной бури. В попытке добраться до корабля во время бури инженер и биолог Марк Уотни получает повреждение скафандра обломками антенны и команда теряет его из виду. Посчитав его погибшим, экипаж улетает с Марса. Очнувшись, Уотни обнаруживает, что связь с Землёй отсутствует, но при этом полностью функционирует жилой модуль. Он начинает искать способы продержаться на имеющихся запасах еды, витаминов, воды и воздуха ещё 4 года до прилёта следующей миссии «Арес-4».",7.8,8.0,1000000,марсианский миссия арес процесс работа вынудить экстренно покинуть планета быстро надвигаться песчаный буря попытка добраться корабль время буря инженер биолог марк уотня получать повреждение скафандр обломок антенна команда терять вид посчитать погибший экипаж улетать марс очнуться уотня обнаруживать связь земл отсутствовать полностью функционировать жилой модуль начинать искать способ продержаться иметься запас еда витамин вода воздух год прил следующий миссия арес,0,0.054936341308179114,0,0.6232392224035468
