rank,title,year,country,genres,description
169,Gone with the Wind,1939,United States,"Drama, Romance, War",A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civi...Read all
170,"Lock, Stock and Two Smoking Barrels",1998,United Kingdom,"Comedy, Crime","When four small-time criminals lose a rigged poker game against a London kingpin, he gives them one week to settle their enormous debt."
171,Chinatown,1974,United States,"Drama, Mystery, Thriller","A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
172,V for Vendetta,2005,United States,"Action, Drama, Sci-Fi",A young woman living in a dystopian society meets a shadowy freedom fighter who is plotting to overthrow their tyrannical government.
173,Catch Me If You Can,2002,United States,"Biography, Crime, Drama","Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
174,Inside Out,2015,United States,"Animation, Adventure, Comedy","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions, Joy, Fear, Anger, Disgust, and Sadness, conflict on how best to navigate a new city, house, and ...Read all"
175,Rashomon,1950,Japan,"Crime, Drama, Mystery",Three parties and a witness have four versions of a rape/murder in ninth-century Japan.
176,"Three Billboards Outside Ebbing, Missouri",2017,United Kingdom,"Comedy, Crime, Drama",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
177,Trainspotting,1996,United Kingdom,"Crime, Drama","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends."
178,The Bridge on the River Kwai,1957,United Kingdom,"Adventure, Drama, War","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid t...Read all"
179,Dead Poets Society,1989,United States,"Comedy, Drama","Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of sel...Read all"
180,Harry Potter and the Deathly Hallows: Part 2,2011,United Kingdom,"Adventure, Family, Fantasy","Harry, Ron and Hermione set out on a quest to eliminate the remaining horcruxes. On the other hand, the students and teachers must unite to defend Hogwarts against Lord Voldemort and his arm...Read all"
181,The Wild Robot,2024,United States,"Animation, Adventure, Family",A sentient robot stranded on an uninhabited island raises an orphaned gosling while trying to fit in with the local wildlife.
182,Barry Lyndon,1975,United Kingdom,"Adventure, Drama, War",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
183,Warrior,2011,United States,"Action, Drama, Sport","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision ...Read all"
184,Ben-Hur,1959,United States,"Adventure, Drama","A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge."
185,Fargo,1996,United Kingdom,"Crime, Drama, Thriller",Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
186,Million Dollar Baby,2004,United States,"Drama, Sport","Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close...Read all"
187,Mad Max: Fury Road,2015,Australia,"Action, Adventure, Sci-Fi","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named ...Read all"
188,Raging Bull,1980,United States,"Biography, Drama, Sport","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
189,Hacksaw Ridge,2016,United States,"Biography, Drama, History","World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor wit...Read all"
190,Children of Heaven,1997,Iran,"Drama, Family, Sport","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
191,My Neighbor Totoro,1988,Japan,"Animation, Adventure, Comedy","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
192,Gran Torino,2008,Germany,Drama,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
193,Ratatouille,2007,United States,"Animation, Adventure, Comedy",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
194,12 Years a Slave,2013,United Kingdom,"Biography, Drama, History","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
195,The Grand Budapest Hotel,2014,United States,"Comedy, Drama","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
196,Before Sunrise,1995,United States,"Comedy, Drama, Romance","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
197,Memories of Murder,2003,South Korea,"Crime, Drama, Mystery","In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
198,How to Train Your Dragon,2010,United States,"Animation, Action, Adventure","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
199,Blade Runner,1982,United States,"Action, Drama, Sci-Fi",A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
200,The Chaos Class Failed the Class,1975,Turkey,Comedy,"A group of students have failed their exams and must return for another year. Distracting them all is a new young female teacher, who they try out their usual tricks on."
201,Gone Girl,2014,United States,"Drama, Mystery, Thriller",The husband of a missing woman becomes the main suspect in her disappearance.
202,Spider-Man: No Way Home,2021,United States,"Action, Adventure, Fantasy","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear."
203,"Monsters, Inc.",2001,United States,"Animation, Adventure, Comedy","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things ...Read all"
204,Jaws,1975,United States,"Adventure, Drama, Horror","When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down."
205,Ford v Ferrari,2019,United States,"Action, Biography, Drama",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 2...Read all
206,In the Name of the Father,1993,Ireland,"Biography, Crime, Drama","An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free t...Read all"
207,Wild Tales,2014,Argentina,"Comedy, Drama, Thriller",Six short stories that explore the extremities of human behavior involving people in distress.
208,The Gold Rush,1925,United States,"Adventure, Comedy, Drama","A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
209,Sherlock Jr.,1924,United States,"Action, Comedy, Romance","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
210,Mary and Max,2009,Australia,"Animation, Comedy, Drama","In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome."
211,The Deer Hunter,1978,United States,"Drama, War",The lives of a group of friends are forever changed by the Vietnam War.
212,The Wages of Fear,1953,France,"Adventure, Drama, Thriller","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
213,The General,1926,United States,"Action, Adventure, Comedy","After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized ...Read all"
214,Logan,2017,United States,"Action, Drama, Sci-Fi","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to s...Read all"
215,Rocky,1976,United States,"Drama, Sport",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
216,Mr. Smith Goes to Washington,1939,United States,"Comedy, Drama","A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries...Read all"
217,Pirates of the Caribbean: The Curse of the Black Pearl,2003,United States,"Action, Adventure, Fantasy",An intrepid blacksmith teams up with an eccentric pirate captain to save his love from an undead pirate crew.
218,Tokyo Story,1953,Japan,Drama,"An old couple visit their children and grandchildren in the city, but receive little attention."
219,On the Waterfront,1954,United States,"Crime, Drama, Thriller","An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of ...Read all"
220,A Silent Voice: The Movie,2016,Japan,"Animation, Drama","A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed...Read all"
221,La haine,1995,France,"Crime, Drama",24 hours in the lives of three young men in the French suburbs the day after a violent riot.
222,Spotlight,2015,United States,"Biography, Crime, Drama","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
223,Wild Strawberries,1957,Sweden,"Drama, Romance","After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
224,The Terminator,1984,United Kingdom,"Action, Adventure, Sci-Fi",A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.
225,Jai Bhim,2021,India,"Crime, Drama","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
226,The Sound of Music,1965,United States,"Biography, Drama, Family",A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
227,Maharaja,2024,India,"Action, Crime, Drama","A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the e...Read all"
228,The Third Man,1949,United Kingdom,"Drama, Film-Noir, Mystery","Pulp novelist Holly Martins travels to shadowy, mystifying post-war Vienna only to find himself investigating the mysterious sudden death of old friend Harry Lime."
229,Chainsaw Man - The Movie: Reze Arc,2025,Japan,"Animation, Action, Adventure","A direct sequel to the first season of the series ""Chainsaw Man"", featuring Denji, a young man who co-exists with a chainsaw demon. Denji encounters a new romantic interest, but will his inv...Read all"
230,The Big Lebowski,1998,United Kingdom,"Comedy, Crime","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
231,The Best Years of Our Lives,1946,United States,"Drama, Romance, War",Three WWII veterans return home forever changed and find it difficult to adjust to their new realities.
232,Before Sunset,2004,United States,"Drama, Romance","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
233,Room,2015,Ireland,"Drama, Thriller","A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
234,The Seventh Seal,1957,Sweden,"Drama, Fantasy","A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
235,Hotel Rwanda,2004,United States,"Biography, Drama, History","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
236,The Incredibles,2004,United States,"Animation, Action, Adventure","While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
237,Hachi: A Dog's Tale,2009,United Kingdom,"Biography, Drama, Family","Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond g...Read all"
238,Platoon,1986,United States,"Drama, War","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and th...Read all"
239,The Exorcist,1973,United States,Horror,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life."
240,Rush,2013,United Kingdom,"Biography, Drama, Sport","James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits."
241,The Iron Giant,1999,United States,"Animation, Action, Adventure",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
242,The Wizard of Oz,1939,United States,"Adventure, Family, Fantasy","Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can retur...Read all"
243,Stand by Me,1986,United States,"Adventure, Drama",A writer recounts a childhood journey with his friends to view the body of a boy who went missing in the woods.
244,My Father and My Son,2005,Turkey,Drama,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
245,The Battle of Algiers,1966,Italy,"Drama, War","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
246,The Passion of Joan of Arc,1928,France,"Biography, Drama, History","In 1431, Jeanne d'Arc is placed on trial on charges of heresy, and the ecclesiastical jurists attempt to force her to recant her claims of holy visions."
247,The Handmaiden,2016,South Korea,"Drama, Romance, Thriller","In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindle...Read all"
248,Network,1976,United States,Drama,"A television network cynically exploits a deranged former anchor's ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control."
249,Drishyam,2015,India,"Crime, Drama, Mystery","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
250,Soorarai Pottru,2020,India,Drama,"A determined villager challenges the aviation industry's elite by pursuing his vision of affordable air travel for all, despite numerous obstacles and setbacks"
