rank,title,year,country,genres,description,rating_kp,rating_imdb,votes_imdb
107,Звёздные войны: Эпизод 6 - Возвращение Джедая,1983,United States,"Боевик, Приключения, Фэнтези","После спасения Хана Соло от Джаббы Хатта Альянс повстанцев пытается уничтожить вторую Звезду Смерти, в то время как Люк изо всех сил пытается помочь Дарту Вейдеру вернуться с темной стороны.",8.2,8.3,1200000
108,Иди и смотри,1985,Soviet Union,"Драма, Триллер, Военный","Найдя старую винтовку, мальчик присоединяется к советскому движению сопротивления против безжалостных немецких войск и переживает ужасы Второй мировой войны.",8.3,8.3,120000
109,Реквием по мечте,2000,United States,Драма,"Утопии четырех жителей Кони-Айленда, вызванные наркотиками, рушатся, когда их зависимость становится глубокой.",8.0,8.3,968000
110,История игрушек: Большой побег,2010,United States,"Анимация, Приключения, Комедия","Игрушки по ошибке доставлены в детский сад, а не на чердак, прямо перед отъездом Энди в колледж, и Вуди предстоит убедить другие игрушки, что их не бросили...Читать полностью",7.9,8.3,964000
111,Жить,1952,Japan,Драма,"Бюрократ пытается найти смысл в своей жизни после того, как обнаруживает, что у него неизлечимая форма рака.",8.1,8.3,102000
112,Охота,2012,Denmark,Драма,"Учитель живет одинокой жизнью, все время борясь за опеку над своим сыном. Его жизнь постепенно налаживается, поскольку он находит любовь и получает хорошие новости от сына, но его новая удача вот-вот...Читать полностью",7.9,8.3,406000
113,Пожары,2010,Canada,"Драма, Мистика, Военный","Близнецы отправляются на Ближний Восток, чтобы узнать историю своей семьи и исполнить последнюю волю своей матери.",8.1,8.3,248000
114,Вечное сияние чистого разума,2004,United States,"Драма, Романтика, Научная фантастика","Когда их отношения портятся, пара проходит медицинскую процедуру, чтобы навсегда стереть друг друга из воспоминаний.",8.0,8.3,1200000
115,Квартира,1960,United States,"комедия, драма, романтика","Клерк страховой компании на Манхэттене пытается добиться успеха в своей компании, позволяя ее руководителям использовать его квартиру для свиданий, но офисная политика и его собственные романтические надежды усложняют ситуацию.",8.0,8.3,218000
116,Лоуренс Аравийский,1962,United Kingdom,"приключения, биографический, драма","История Т.Е. Лоуренс, английский офицер, который успешно объединил и возглавил различные, часто враждующие арабские племена во время Первой мировой войны для борьбы с турками.",8.0,8.3,340000
117,Схватка,1995,United States,"Боевик, Криминал, Драма","Группа высококлассных профессиональных воров начинает чувствовать накал страстей со стороны полиции Лос-Анджелеса, когда неосознанно оставляет словесную подсказку во время своего последнего ограбления.",8.1,8.3,797000
118,Лицо со шрамом,1983,United States,"криминал, драма",В 1980-х годах решительный и криминально настроенный кубинский иммигрант становится крупнейшим контрабандистом наркотиков в Майами и в конечном итоге погибает из-за собственной наркозависимости.,8.2,8.3,1000000
119,2001 год: Космическая одиссея,1968,United Kingdom,"приключения, научная фантастика","Когда на Луне обнаруживают загадочный артефакт, космический корабль, пилотируемый двумя людьми и одним суперкомпьютером, отправляется на Юпитер, чтобы выяснить его происхождение.",7.9,8.3,779000
120,Вверх,2009,United States,"Анимация, Приключения, Комедия","78-летний Карл Фредриксен отправляется в Южную Америку в своем доме, оснащенном воздушными шарами, случайно прихватив с собой молодого безбилетного пассажира.",8.0,8.3,1200000
121,Двойная страховка,1944,United States,"криминал, драма, фильм-нуар","Недовольная домохозяйка втягивает представителя страховой компании в схему страхового мошенничества и убийства, вызывающую подозрения у его коллеги, следователя по претензиям.",7.9,8.3,181000
122,На север через северо-запад,1959,United States,"приключения, драма, мистика","Менеджер по рекламе из Нью-Йорка бежит после того, как группа иностранных шпионов приняла его за правительственного агента, и влюбляется в женщину, в лояльности которой он начинает сомневаться.",7.8,8.3,369000
123,Звёздочки на земле,2007,India,"Драма, Семейный","Маленького мальчика считают не чем иным, как ленивым нарушителем спокойствия, пока новому учителю рисования не хватит терпения и сострадания, чтобы обнаружить настоящую проблему, стоящую за его трудностями в школе.",8.1,8.3,229000
124,М убийца,1931,Germany,"криминал, мистика, триллер","Когда полиции немецкого города не удается поймать детоубийцу, к розыску присоединяются другие преступники.",7.9,8.3,181000
125,Амели,2001,France,"комедия, романтика","Несмотря на то, что молодая официантка Амели оказалась в плену своего воображаемого мира, она решает помочь людям обрести счастье. Ее стремление распространять радость приводит ее в путешествие, в котором она находит настоящую любовь.",8.0,8.3,837000
126,Развод Надера и Симин,2011,Iran,Драма,"Супружеская пара сталкивается с трудным решением – улучшить жизнь своего ребенка, переехав в другую страну, или остаться в Иране и присматривать за ухудшающимся родителем, больным болезнью Альжея...Читать полностью",7.7,8.3,277000
127,Дангал,2016,India,"Боевик, Биография, Драма","Махавир Сингх Пхогат, бывший борец, решает осуществить свою мечту и выиграть золотую медаль для своей страны, готовя своих дочерей к Играм Содружества, несмотря на существующие социальные...Читать полностью",8.7,8.3,241000
128,Нюрнбергский процесс,1961,United States,"Драма, История, Военный","Вымышленное изображение Судебного процесса 1947 года, третьего из 12 судебных процессов над нацистскими военными преступниками, проведенных американскими оккупационными силами в Нюрнберге, Германия, на котором бывшие судьи На...Читать полностью",8.2,8.3,96000
129,Гамильтон,2020,United States,"Биография, Драма, История",Реальная жизнь одного из выдающихся отцов-основателей Америки и первого министра финансов Александра Гамильтона. Записано в прямом эфире на Бродвее из театра Ричарда Роджерса с оригинальной...Читать полностью,8.5,8.3,138000
130,Махараджа,2024,India,"Боевик, Криминал, Драма","Парикмахер жаждет отомстить после ограбления его дома, загадочно сообщая полиции, что его «лакшми» украли, в результате чего они не уверены, человек это или предмет. Его стремление вернуть электронную...Читать полностью",7.1,8.3,80000
131,Человек-бензопила. Фильм: История Резе,2025,Japan,"Анимация, Боевик, Приключения","Прямое продолжение первого сезона сериала «Человек с бензопилой», в котором рассказывается о Денджи, молодом человеке, который сосуществует с демоном бензопилой. У Денджи появляется новый романтический интерес, но будет ли его приглашен...Читать полностью",8.2,8.3,49000
132,Остров проклятых,2009,"США, Канада","триллер, детектив, драма","Два американских судебных пристава отправляются на один из островов в штате Массачусетс, чтобы расследовать исчезновение пациентки клиники для умалишенных преступников. При проведении расследования им придется столкнуться с паутиной лжи, обрушившимся ураганом и смертельным бунтом обитателей клиники.",8.6,8.2,1600000
133,Убить Билла,2003,"США, Япония","боевик, триллер, криминал","В беременную наёмную убийцу по кличке Чёрная Мамба во время бракосочетания стреляет человек по имени Билл. Но голова у женщины оказалась крепкой — пролежав четыре года в коме, бывшая невеста приходит в себя. Она горит желанием найти предателей. Теперь только безжалостная месть успокоит сердце Чёрной Мамбы, и она начинает по очереди убивать членов банды Билла, решив оставить главаря напоследок.",7.7,8.2,1300000
134,Цельнометаллическая оболочка,1987,United Kingdom,"Драма, Военный","Прагматичный морской пехотинец США наблюдает за бесчеловечным воздействием войны во Вьетнаме на своих соратников-новобранцев, начиная с жестоких тренировок в учебном лагере и заканчивая кровавыми уличными боями в Хюэ.",8.0,8.2,847000
135,Головокружение,1958,United States,"мистика, романтика, триллер","Бывший детектив полиции Сан-Франциско жонглирует борьбой со своими личными демонами и становится одержимым навязчиво красивой женщиной, которую его наняли выследить, и которая может быть глубоко рассержена...Читать полностью",7.9,8.2,456000
136,Гражданин Кейн,1941,United States,"Драма, Мистика",После смерти издательского магната Чарльза Фостера Кейна репортеры пытаются раскрыть смысл его последнего высказывания: «Бутон розы».,7.7,8.2,492000
137,Крепкий орешек,1988,United States,"Боевик, Триллер","Полицейский из Нью-Йорка пытается спасти свою жену и еще нескольких человек, взятых в заложники террористами во время рождественской вечеринки в небоскребе Лос-Анджелеса.",8.0,8.2,1000000
138,Убить пересмешника,1962,United States,"криминал, драма","Овдовевший адвокат из Алабамы времен Великой депрессии защищает чернокожего мужчину от ложного обвинения в изнасиловании, одновременно рассказывая своим маленьким детям о печальной реальности предрассудков.",8.0,8.2,351000
139,Индиана Джонс и последний крестовый поход,1989,United States,"Боевики, Приключения","В 1938 году, после того как его отец пропал без вести во время поисков Святого Грааля, Индиана Джонс снова сталкивается с нацистами, чтобы помешать им получить его силу.",8.1,8.2,860000
140,Афера,1973,United States,"комедия, криминал, драма","Два мошенника объединяются, чтобы провернуть грандиозную аферу.",8.1,8.2,298000
141,Заводной апельсин,1971,United Kingdom,"Криминал, Научная фантастика",Алекс ДеЛардж и его друзья варваризируют разлагающееся ближайшее будущее.,7.9,8.2,933000
142,Метрополис,1927,Germany,"Драма, Научная фантастика","В футуристическом городе, резко разделенном между рабочим классом и градостроителями, сын городского вдохновителя влюбляется в пророка из рабочего класса, который предсказывает наступление...Читать полностью",8.1,8.2,200000
143,1917,2019,United Kingdom,"Боевик, Драма, Военный","6 апреля 1917 года. Пехотный батальон собирается для ведения войны в глубине вражеской территории. Двум солдатам поручено состязаться со временем и доставить сообщение, которое остановит 1600 человек...Читать полностью",7.9,8.2,765000
144,Большой куш,2000,United Kingdom,"комедия, криминал","Недобросовестные промоутеры бокса, жестокие букмекеры, русский гангстер, некомпетентные грабители-любители и якобы еврейские ювелиры борются за поиск бесценного украденного бриллианта.",8.6,8.2,973000
145,Волк с Уолл-стрит,2013,United States,"Биография, Комедия, Криминал","Основан на реальной истории Джордана Белфорта, от его восхождения до богатого биржевого маклера, ведущего светскую жизнь, до его падения, связанного с преступностью, коррупцией и федеральным правительством.",8.1,8.2,1800000
146,Секреты Лос-Анджелеса,1997,United States,"криминал, драма, мистика","В 1950-х годах в Лос-Анджелесе растет коррупция, и трое полицейских – один сдержанный, один жестокий и один неряшливый – расследуют серию убийств, придерживаясь своего собственного принципа правосудия.",7.9,8.2,657000
147,Бункер,2004,Germany,"Биография, Драма, История","Траудль Юнге, последний секретарь Адольфа Гитлера, рассказывает о последних днях нацистского диктатора в его берлинском бункере в конце Второй мировой войны.",7.8,8.2,399000
148,Шоу Трумана,1998,United States,"Комедия, Драма","Продавец страховых услуг начинает подозревать, что вся его жизнь — это на самом деле какое-то реалити-шоу.",8.3,8.2,1400000
149,Похитители велосипедов,1948,Italy,Драма,"В послевоенной Италии у рабочего человека украли велосипед, что поставило под угрозу его попытки найти работу. Он и его сын отправились на его поиски.",7.9,8.2,192000
150,Зеленая книга,2018,United States,"Биография, Комедия, Драма",Итало-американский вышибала из рабочего класса становится водителем афроамериканского классического пианиста во время тура по югу Америки 1960-х годов.,8.5,8.2,678000
151,Оппенгеймер,2023,United States,"Биография, Драма, История","Инсценировка истории жизни Дж. Роберта Оппенгеймера, физика, приложившего большое внимание к созданию атомной бомбы, положившей конец Второй мировой войне.",8.1,8.2,1000000
152,Бэтмен: Начало,2005,United States,"Боевик, Криминал, Драма","Став свидетелем смерти своих родителей, миллиардер Брюс Уэйн учится искусству борьбы с несправедливостью. Когда он возвращается в Готэм в роли Бэтмена, ему предстоит остановить тайное общество, которое намеревается...Читать все",7.9,8.2,1700000
153,На несколько долларов больше,1965,Italy,"Драма, Вестерн","Два наемных убийцы со схожими намерениями, но разными мотивами объединяются, чтобы уничтожить психотического мексиканского преступника, прежде чем он и его банда смогут совершить дерзкое ограбление банка.",8.1,8.2,299000
154,Парк юрского периода,1993,United States,"Боевики, Приключения, Научная фантастика","Промышленник приглашает экспертов посетить свой тематический парк клонированных динозавров. После сбоя в электроснабжении существа выбегают на свободу, подвергая жизни всех, включая его внуков...Читать полностью",7.8,8.2,1200000
155,Таксист,1976,United States,"криминал, драма","Психически неуравновешенный ветеран работает ночным таксистом в Нью-Йорке, где воспринимаемый упадок и подлость подпитывают его стремление к насильственным действиям.",7.7,8.2,1000000
156,В джазе только девушки,1959,United States,"комедия, музыка, романтика","После того, как двое музыкантов-мужчин стали свидетелями нападения мафии, они бегут из штата в составе женской группы, замаскированной под женщин, но начинаются дальнейшие осложнения.",8.4,8.2,304000
157,Нефть,2007,United States,Драма,"История семьи, религии, ненависти, нефти и безумия, рассказывающая о старателе начала века, на заре своего бизнеса.",7.9,8.2,704000
158,Отец,2020,United Kingdom,"Драма, Мистика","С возрастом мужчина отказывается от любой помощи со стороны своей дочери. Когда он пытается понять, что происходит вокруг него, он начинает сомневаться в своих близких, собственном разуме и даже в самой структуре своего...Читать полностью",7.8,8.2,242000
159,Малыш,1921,United States,"Комедия, Драма, Семейный","Бродяга заботится о брошенном ребенке, но события ставят их отношения под угрозу.",8.3,8.2,145000
160,Всё о Еве,1950,United States,Драма,"На первый взгляд робкая, но втайне безжалостная инженю вторгается в жизнь стареющей звезды Бродвея и ее круга друзей по театру.",8.0,8.2,149000
161,Шестое чувство,1999,United States,"Драма, Мистика, Триллер","Детский психолог из Филадельфии, застреленный обиженным бывшим пациентом, которому он не смог помочь, пытается искупить свою вину, рассказывая маленькому мальчику тревожную тайну.",8.2,8.2,1100000
162,Ран,1985,Japan,"Боевик, Драма, Военный","В средневековой Японии пожилой военачальник уходит в отставку, передавая свою империю трем сыновьям. Однако он сильно недооценивает, как новообретенная власть развратит их и заставит отвернуться...Читать полностью",7.9,8.2,151000
163,Казино,1995,United States,"криминал, драма",В Лас-Вегасе два лучших друга — руководитель казино и боевик мафии — соревнуются за империю азартных игр и быстроживущую и любящую светскую львицу.,8.1,8.2,615000
164,Старикам тут не место,2007,United States,"криминал, драма, триллер","Насилие и хаос возникают после того, как охотник натыкается на последствия неудачной сделки с наркотиками и более двух миллионов долларов наличными недалеко от Рио-Гранде.",7.8,8.2,1200000
165,Нечто,1982,United States,"Ужасы, Мистика, Научная фантастика","На исследовательскую группу в Антарктиде охотится инопланетянин, меняющий форму, принимающий облик своих жертв.",7.9,8.2,523000
166,Пленницы,2013,United States,"криминал, драма, мистика","Отчаявшийся отец берет правосудие в свои руки после того, как полиции не удалось найти двух похищенных девочек.",7.8,8.2,926000
167,Топ Ган: Мэверик,2022,United States,"Боевик, Драма","История рассказывает о том, как Мэверик сталкивается со своим прошлым, обучая группу молодых выпускников Top Gun, включая сына его покойного лучшего друга, для опасной миссии.",7.7,8.2,850000
168,Убить Билла. Фильм 1,2003,United States,"Боевик, Криминал, Триллер","Очнувшись от четырехлетней комы, бывшая убийца мстит предавшей ее команде убийц.",7.7,8.2,1300000
169,Лабиринт Фавна,2006,Mexico,"Драма, Фэнтези, Военный","В 1944 году во франкистской Испании молодая девушка с богатым воображением встречает фавна, который говорит ей, что она принцесса и что она должна доказать свою ценность, выполнив три опасных задания.",7.6,8.2,744000
170,Непрощенный,1992,United States,"Драма, Вестерн","Отставной стрелок с Дикого Запада Уилл Манни неохотно берется за последнюю работу, чтобы отомстить за несправедливость с помощью своего старого партнера и молодого потенциального боевика, называющего себя «Шофилд Ки...Читать полностью",7.8,8.2,467000
171,Игры разума,2001,United States,"биография, драма, мистика","Математический гений, Джон Нэш сделал удивительное открытие в начале своей карьеры и оказался на пороге международного признания. Но вскоре Нэш оказался на мучительном пути к самому себе...Читать полностью",8.5,8.2,1000000
172,Ходячий замок,2004,Japan,"Анимация, Приключения, Семейный","Когда злобная ведьма навязывает неуверенную в себе молодую женщину проклятием старого тела, ее единственный шанс разрушить чары остается у снисходительного, но неуверенного в себе молодого волшебника и его товарищей...Читать полностью",8.3,8.2,508000
173,Сокровища Сьерра Мадре,1948,United States,"приключения, драма, вестерн","Двое неудавшихся американцев, ищущих работу в Мексике 1920-х годов, убеждают старого старателя помочь им добывать золото в горах Сьерра-Мадре.",8.0,8.2,141000
174,В поисках Немо,2003,United States,"Анимация, Приключения, Комедия","После того, как его сына поймали на Большом Барьерном рифе и доставили в Сидней, робкая рыба-клоун отправляется в путешествие, чтобы вернуть его домой.",7.9,8.2,1200000
175,Клаус,2019,Spain,"Анимация, Приключения, Комедия","Простой добрый поступок всегда вызывает другой, даже в холодном, далеком месте. Когда новый почтальон Смеренсбурга Джеспер подружился с мастером игрушек Клаусом, их подарки расплавляют вековую вражду и доставляют...Читать полностью",8.7,8.2,235000
176,Телохранитель,1961,Japan,"Боевик, Драма, Триллер","Коварный ронин приезжает в город, разделенный двумя преступными группировками, и решает натравить их друг на друга, чтобы освободить город.",8.0,8.2,142000
177,Большой побег,1963,United States,"приключения, драма, триллер","Офицеры союзников в немецком лагере для военнопленных во время Второй мировой войны разрабатывают смелый план массового побега сотен военнопленных, надеясь отвлечь немецкий персонал и ресурсы от боевых действий...Читать полностью",7.3,8.2,276000
178,Человек-слон,1980,United States,"Биография, Драма","Хирург викторианской эпохи спасает сильно изуродованного и подвергшегося жестокому обращению молодого человека, работающего в качестве уродца, который постепенно раскрывает свою способность к доброте, уму и утонченности.",8.1,8.2,281000
179,Монти Пайтон и священный Грааль,1975,United Kingdom,"приключения, комедия, фэнтези","Король Артур и его рыцари Круглого стола отправляются в сюрреалистический малобюджетный поиск Святого Грааля, сталкиваясь со множеством очень глупых препятствий.",7.8,8.2,601000
180,Тайна в его глазах,2009,Argentina,"Драма, Мистика, Романтика","Юрисконсульт на пенсии пишет роман, надеясь найти решение одного из своих прошлых нераскрытых дел об убийстве и своей безответной любви к своему начальнику - и то, и другое до сих пор не дает ему покоя...Читать полностью",7.3,8.2,241000
181,Унесенные ветром,1939,United States,"Драма, Романтика, Военный","Защищенная и манипулятивная южная красавица и мошенник-спекулянт встречаются в бурном романе, в то время как общество вокруг них рушится с окончанием рабства и восстанавливается во время Гражданской войны...Читать полностью",8.5,8.2,355000
182,Дикий робот,2024,United States,"Анимация, Приключения, Семейный","Разумный робот, застрявший на необитаемом острове, воспитывает осиротевшего гусенка, пытаясь приспособиться к местной дикой природе.",8.4,8.2,218000
183,Дети небес,1997,Iran,"Драма, Семейный, Спорт","После того, как мальчик теряет пару туфель своей сестры, он отправляется в серию приключений, чтобы их найти. Когда у него это не получается, он пробует новый способ «выиграть» новую пару.",8.0,8.2,89000
184,Форма голоса,2016,Japan,"Анимация, Драма","Глухая девочка Сёко подвергается издевательствам со стороны популярного Сёя. Пока Сёя продолжает запугивать Сёко, класс отворачивается от него. Шоко переезжает, и Сёя растет изгоем. Одинокий и подавленный...Читать все",8.2,8.2,139000
185,Мой отец и мой сын,2005,Turkey,"Драма, Семейный",Семья левого журналиста разлучена после военного переворота в Турции в 1980 году.,7.6,8.2,100000
186,Видимость,2015,India,"криминал, драма, мистика","Отчаянные меры принимает мужчина, который пытается спасти свою семью от темной стороны закона после того, как они совершают неожиданное преступление.",7.3,8.2,108000
187,Чудо в камере No7,2019,Turkey,Драма,"История любви психически больного отца, ошибочно обвиненного в убийстве, и его очаровательной шестилетней дочери. Тюрьма станет их домом. По мотивам корейского фильма 2013 года «Чудо в камере» ...Читать полностью",8.4,8.2,62000
188,Пираты Карибского моря: Проклятие Черной жемчужины,2003,США,"фэнтези, боевик, приключения","Жизнь харизматичного авантюриста, капитана Джека Воробья, полная увлекательных приключений, резко меняется, когда его заклятый враг капитан Барбосса похищает корабль Джека Черную Жемчужину, а затем нападает на Порт Ройал и крадет прекрасную дочь губернатора Элизабет Свонн.

Друг детства Элизабет Уилл Тернер вместе с Джеком возглавляет спасательную экспедицию на самом быстром корабле Британии, чтобы вызволить девушку и заодно отобрать у злодея Черную Жемчужину. Вслед за этой парочкой отправляется амбициозный коммодор Норрингтон, который к тому же числится женихом Элизабет.

Однако Уилл не знает, что над Барбоссой висит вечное проклятие, при лунном свете превращающее его с командой в живых скелетов. Проклятье будет снято лишь тогда, когда украденное золото Ацтеков будет возвращено пиратами на старое место.",8.4,8.1,1300000
189,«V» значит Вендетта,2006,"Великобритания, Германия","фантастика, боевик, триллер, драма","Альтернативное будущее. В Англии после страшной эпидемии неизвестного вируса повергшей страну в хаос, устанавливается жестокая диктатура властного канцлера со всеми сопутствующими прелестями: комендантский час, всевластие членов партии над простыми людьми и, конечно, сотни тайных стукачей-осведомителей. Однажды ночью в Лондоне появляется борец за свободу, известный как V, который начинает партизанскую войну с режимом в попытке вернуть народу отнятую у него свободу. В этой войне он привлекает на свою сторону молодую женщину, которую он вырвал из лап тайной полиции.",7.8,8.1,1200000
190,На игле,1995,"Великобритания, США","драма, криминал","История четырёх друзей-наркоманов в Эдинбурге 1990-х годов. Кто-то из них пытается завязать, а кто-то озабочен только тем, как достать очередную дозу.",8.0,8.1,766000
191,Общество мертвых поэтов,1989,США,драма,"Джон Китинг — новый преподаватель английской словесности в консервативном американском колледже. От чопорной массы учителей его выгодно отличают легкость общения, эксцентричное поведение и пренебрежение к программе обучения. 

Однажды он посвящает своих подопечных в тайну Общества мёртвых поэтов. С этого момента каждый из учеников старается обрести свой собственный голос в безликом хоре, взглянуть на окружающий мир, высоко подпрыгнув над серой школьной оградой.",8.3,8.1,645000
192,Прислуга,2011,"США, Индия",драма,"Американский Юг, на дворе 1960-е годы. Скитер только-только закончила университет и возвращается домой, в сонный городок Джексон, где никогда ничего не происходит. Она мечтает стать писательницей, вырваться в большой мир. Но для приличной девушки с Юга не пристало тешиться столь глупыми иллюзиями, приличной девушке следует выйти замуж и хлопотать по дому.

Мудрая Эйбилин на тридцать лет старше Скитер, она прислуживает в домах белых всю свою жизнь, вынянчила семнадцать детей и давно уже ничего не ждет от жизни, ибо сердце ее разбито после смерти единственного сына.

Минни - самая лучшая стряпуха во всем Джексоне, а еще она самая дерзкая служанка в городе. И острый язык не раз уже сослужил ей плохую службу. На одном месте Минни никогда подолгу не задерживается. Но с Минни лучше не связываться даже самым высокомерным белым дамочкам. Двух черных служанок и белую неопытную девушку объединяет одно - обостренное чувство справедливости и желание хоть как-то изменить порядок вещей. Смогут ли эти трое противостоять целому миру? Сумеют ли они выжить в этой борьбе?",8.2,8.1,527000
193,В случае убийства набирайте «М»,1954,United States,"криминал, драма, мистика",Лондонский плейбой замышляет идеальное убийство своей богатой неверной жены.,8.1,8.1,204000
194,"Карты, деньги, два ствола",1998,United Kingdom,"комедия, криминал","Когда четверо мелких преступников проигрывают в сфальсифицированной игре в покер против лондонского вора в законе, он дает им неделю на погашение огромного долга.",8.6,8.1,648000
195,Китайский квартал,1974,United States,"Драма, Мистика, Триллер","Частный детектив, нанятый для разоблачения прелюбодея в Лос-Анджелесе 1930-х годов, оказывается в паутине обмана, коррупции и убийств.",7.7,8.1,376000
196,"Поймай меня, если сможешь",2002,United States,"Биография, криминал, драма","Фрэнку едва исполнилось 17, он опытный фальсификатор, прошедший карьеру врача, юриста и пилота. Агент ФБР Карл становится одержим идеей выследить мошенника, который только упивается преследованием.",8.5,8.1,1200000
197,Головоломка,2015,United States,"Анимация, Приключения, Комедия","После того, как юная Райли вырвалась из своей жизни на Среднем Западе и переехала в Сан-Франциско, ее эмоции: радость, страх, гнев, отвращение и печаль - конфликтуют в отношении того, как лучше всего ориентироваться в новом городе, доме и ...Прочитать все",8.1,8.1,908000
198,Расёмон,1950,Japan,"криминал, драма, мистика",У трёх сторон и свидетеля есть четыре версии изнасилования/убийства в Японии девятого века.,7.9,8.1,196000
199,"Три билборда на границе Эббинга, Миссури",2017,United Kingdom,"комедия, криминал, драма","Мать лично бросает вызов местным властям раскрыть убийство ее дочери, когда им не удается поймать преступника.",8.1,8.1,604000
200,Мост через реку Квай,1957,United Kingdom,"приключения, драма, военный","Британские военнопленные вынуждены построить железнодорожный мост через реку Квай для своих японских захватчиков в оккупированной Бирме, не зная, что союзные войска планируют дерзкий десантный рейд...Читать полностью",7.7,8.1,248000
